,timestamp,actions_heatpump_operation_modus,actions_heatpump_compression_states,actions_heatpump_temp_setpoint,actions_heatpump_flow_setpoint,actions_battery_system_status,actions_battery_real_power,actions_battery_reactive_power,actions_battery_reason,actions_chargingstation_totalpower,actions_reset_heatpump_timer,actions_distr_heat_temp_sp,costs_discounted_cost_calculated,costs_pv,costs_battery,costs_base_cs,costs_grid_cs,costs_cs_cost_calculated,costs_base_el,costs_grid_el,costs_grid_only_solar,costs_el_cost_calculated,costs_savings_calculated,costs_el_savings,costs_cs_savings,costs_el_savings_wout_battery,costs_heat_cost_calculated,battery_state_of_charge,battery_battery_status,battery_battery_operating_status,battery_system_status,battery_power,pv_1_power,electricity_demand_total_load,electricity_demand_heatpump_load,price_price
2023-01-02 13:00:00,1672664400.0,off,{1: 1},55.0,2.0,operating,-50000.0,0.0,price forecast,0.0,False,55.0,True,0.10971010152863336,0.12548482774355463,0.0,0.0,True,0.6241934472583593,1.640729219467965,0.5961386151282361,True,True,-1.2517307014817938,-0.10971010152863336,-0.08165526939851009,False,65.79639048313709,operating,discharging,operating,22851.26883966116,3529.7932704180257,28534.55758895357,0.0,4.7e-05
2023-01-02 13:15:00,1672665300.0,off,{1: 1},55.0,2.0,operating,-50000.0,0.0,price forecast,0.0,False,55.0,True,0.10971010152863336,0.12548482774355463,0.0,0.0,True,0.6213319064411473,1.6380010637974374,0.5934074168117947,True,True,-1.2518640866284783,-0.10971010152863336,-0.08178561189928069,False,70.81201548313709,operating,charging,operating,-50000.0,3523.695663712452,28403.74429445245,0.0,4.7e-05
2023-01-02 13:30:00,1672666200.0,off,{1: 1},55.0,2.0,operating,-50000.0,0.0,price forecast,0.0,False,55.0,True,0.10971010152863336,0.12548482774355463,0.0,0.0,True,0.6176465096454425,1.634446649398226,0.5898751472922235,True,True,-1.2519950690249715,-0.10971010152863336,-0.08193873917541428,False,75.82764048313709,operating,charging,operating,-50000.0,3517.7078970156217,28235.26901236309,0.0,4.7e-05
2023-01-02 13:45:00,1672667100.0,off,{1: 1},55.0,2.0,operating,-50000.0,0.0,price forecast,0.0,False,55.0,True,0.10971010152863336,0.12548482774355463,0.0,0.0,True,0.6136082522119407,1.6305355128839174,0.5859988932808953,True,True,-1.2521221899441648,-0.10971010152863336,-0.08210074259758793,False,80.84326548313709,operating,charging,operating,-50000.0,3511.896654995344,28050.66295826015,0.0,4.7e-05
2023-01-02 14:00:00,1672668000.0,off,{1: 1},55.0,2.0,operating,-50000.0,0.0,price forecast,0.0,False,55.0,True,0.10971010152863336,0.12548482774355463,0.0,0.0,True,0.6142329834832866,1.6711177416760903,0.6009753294662151,True,True,-1.2920796874649918,-0.10971010152863336,-0.0964524475115619,False,85.85889048313709,operating,charging,operating,-50000.0,1685.268196900405,28079.22210209311,0.0,4.2e-05
2023-01-02 14:15:00,1672668900.0,off,{1: 1},55.0,2.0,operating,-50000.0,0.0,price forecast,0.0,False,55.0,True,0.10971010152863336,0.12548482774355463,0.0,0.0,True,0.6100340961153874,1.6669556781732526,0.5968478064311994,True,True,-1.2921165113300535,-0.10971010152863336,-0.09652381184444536,False,90.87451548313709,operating,charging,operating,-50000.0,1683.5848202118807,27887.27296527485,0.0,4.2e-05
2023-01-02 14:30:00,1672669800.0,off,{1: 1},55.0,2.0,operating,-50000.0,0.0,price forecast,0.0,False,55.0,True,0.10971010152863336,0.12548482774355463,0.0,0.0,True,0.606674346336275,1.663626524425598,0.5935456854803196,True,True,-1.2921471073615112,-0.10971010152863336,-0.09658144067267793,False,95.89014048313709,operating,charging,operating,-50000.0,1682.1861444880963,27733.684403944007,0.0,4.2e-05
2023-01-02 14:45:00,1672670700.0,off,{1: 1},55.0,2.0,standby,0.0,0.0,no action,0.0,False,55.0,True,0.10971010152863336,0.12548482774355463,0.0,0.0,True,0.6024532808886408,0.565675894495457,0.565675894495457,True,True,-0.19841754287900415,-0.10971010152863336,-0.07293271513544952,False,100.0,operating,charging,operating,-50000.0,1681.2519494026897,27540.72141205215,0.0,4.2e-05
2023-01-02 15:00:00,1672671600.0,off,{1: 1},55.0,2.0,standby,0.0,0.0,no action,0.0,False,55.0,True,0.10971010152863336,0.12548482774355463,0.0,0.0,True,0.5994684426925693,0.5946812717571451,0.594681271757145,True,True,-0.23040775833676386,-0.10971010152863336,-0.10492293059320912,False,100.0,operating,standby,operating,0.0,218.8420999051085,27404.271665946024,0.0,4.8299999999999995e-05
2023-01-02 15:15:00,1672672500.0,off,{1: 1},55.0,2.0,standby,0.0,0.0,no action,0.0,False,55.0,True,0.10971010152863336,0.12548482774355463,0.0,0.0,True,0.597989902682651,0.59316292410907,0.59316292410907,True,True,-0.23036795069860705,-0.10971010152863336,-0.10488312295505242,False,100.0,operating,standby,operating,0.0,220.66187764941532,27336.681265492614,0.0,4.8299999999999995e-05
